,movienames,movieinfo,movietag,movierate,movieid
13,"亲爱的，不要跨过那条江 님아, 그 강을 건너지 마오","{'类型': [' 爱情 ', ' 纪录片 ', ' 家庭'], '主演': [' 姜溪烈 ', ' 赵炳万'], '上映日期': ' 2014-11-27(韩国)', '编剧': ' 陈模瑛', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 陈模瑛'}","['纪录片', '韩国', '爱情', '温情', '感人', '韩国电影', '亲情', '感动']",8.9,50014
14,马里乌斯 Marius,"{'类型': [' 剧情 ', ' 喜剧 ', ' 爱情'], '主演': [' 雷姆 ', ' 皮埃尔·弗雷奈 ', ' 奥兰·德马齐斯'], '上映日期': ' 1931-10-10', '编剧': ' 马塞尔·帕尼奥尔', '语言': [' 法语'], '制片国家/地区': ' 法国', '导演': ' 亚历山大·柯达'}","['法国', '法国电影', 'Marcel_Pagnol', '马歇尔·帕尼奥尔', '喜剧', '1930s', 'MarcelPagnol', '1931']",7.4,50015
15,蝙蝠 박쥐,"{'类型': [' 剧情 ', ' 爱情 ', ' 恐怖 ', ' 奇幻'], '主演': [' 宋康昊 ', ' 申河均 ', ' 金玉彬 ', ' 金海淑 ', ' 朴仁焕 ', ' 吴达洙 ', ' 宋永彰更多...'], '上映日期': ' 2009-04-30(韩国)', '编剧': ' 郑瑞景 / 朴赞郁 / 左拉', '语言': [' 英语 ', ' 韩语'], '制片国家/地区': ' 韩国 / 美国', '导演': ' 朴赞郁'}","['朴赞郁', '韩国', '韩国电影', '吸血鬼', '宋康昊', '爱情', '2009', '惊悚']",7.3,50016
16,新天龙八部之天山童姥 新天龍八部之天山童姥,"{'类型': [' 动作 ', ' 武侠 ', ' 古装'], '主演': [' 林青霞 ', ' 巩俐 ', ' 张敏 ', ' 林文龙 ', ' 徐少强 ', ' 廖启智更多...'], '上映日期': ' 1994-03-05', '编剧': ' 张炭 / 金庸', '语言': [' 粤语'], '制片国家/地区': ' 香港 / 中国大陆', '导演': ' 钱永强'}","['林青霞', '武侠', '香港', '香港电影', '巩俐', '张敏', '动作', '古装']",7.3,50017
17,我自己的爱达荷 My Own Private Idaho,"{'类型': [' 剧情 ', ' 爱情 ', ' 同性'], '主演': [' 瑞凡·菲尼克斯 ', ' 基努·里维斯 ', ' 詹姆斯·拉索 ', ' William Richert ', ' Rodney Harvey ', ' 切瑞拉·凯瑟莉 ', ' Michael Parker ', ' Jessie Thomas ', ' 弗利 ', ' 格蕾丝·扎布里斯基 ', ' 汤姆·特鲁普 ', ' 乌多·基尔 ', ' Sally Curtice ', ' 罗伯特·李·皮彻林恩 ', ' Mickey Cottrell更多...'], '上映日期': ' 1991-09-12', '编剧': ' 格斯·范·桑特 / 莎士比亚', '语言': [' 英语 ', ' 意大利语'], '制片国家/地区': ' 美国', '导演': ' 格斯·范·桑特'}","['美国', '同志', '同性', '文艺', '青春', '爱情', '同性恋', '1991']",8.2,50018
18,无耻之徒(美版) 第六季 Shameless Season 6,"{'类型': [' 剧情 ', ' 喜剧'], '主演': [' 威廉姆·H·梅西 ', ' 埃米·罗森 ', ' 杰瑞米·艾伦·怀特 ', ' 伊森·卡特科斯基 ', ' 卡梅隆·莫纳汉 ', ' 艾玛·肯尼 ', ' 史蒂夫·豪威 ', ' 珊诺拉·汉普顿 ', ' 德蒙特·莫罗尼 ', ' 艾米莉·贝吉尔 ', ' 诺尔·费舍 ', ' 迈克尔·帕特里克·麦克吉尔 ', ' 艾玛·格林威尔 ', ' 妮科尔·布鲁姆 ', ' 史蒂夫·卡兹 ', ' 泰勒·贾克布·摩尔 ', ' 萨莎·亚历山大 ', ' 阿兰·罗森伯格 ', ' 卢卡·奥利尔 ', ' 杰夫·皮埃尔 ', ' 迈克尔·瑞利·伯克 ', ' 雪琳·芬 ', ' 威尔·萨索 ', ' 伊西多拉·格瑞新特 ', ' 布兰登·西姆斯 ', ' Kellen Michael ', ' Vanessa Bell Calloway ', ' Christopher Stills ', ' 皮特·马孔 ', ' 佩顿·伊丽莎白·李更多...'], '编剧': ' 保罗·艾伯特 / 约翰·威尔斯', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 伊恩·B·麦克唐纳 / 尼萨·加纳特 / 杰克·施莱尔 / 彼得·西格尔 / 琳·谢尔顿 / 安东尼·海明威 / 克里斯托弗·查莱克 / 温蒂·斯坦齐勒'}","['美剧', '美国', '家庭', '黑色幽默', '喜剧', '2016', 'Showtime', 'Shameless']",9.4,50019
19,这时对那时错 지금은맞고그때는틀리다,"{'类型': [' 剧情'], '主演': [' 郑在咏 ', ' 金敏喜 ', ' 尹汝贞 ', ' 纪柱峰 ', ' 崔华静 ', ' 刘俊相 ', ' 徐永嬅 ', ' 高雅星更多...'], '上映日期': ' 2015-08-13(洛迦诺电影节) / 2015-09-24(韩国)', '编剧': ' 洪尚秀', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 洪尚秀'}","['韩国', '文艺', '爱情', '2015', '剧情', '人性', '生活', '人生']",7.4,50020
20,娜娜 Nana,"{'类型': [' 剧情 ', ' 音乐'], '主演': [' 中岛美嘉 ', ' 宫崎葵 ', ' 成宫宽贵 ', ' 松山研一 ', ' 纱荣子 ', ' 松田龙平 ', ' 平冈佑太更多...'], '上映日期': ' 2005-09-03(日本)', '编剧': ' 矢泽爱 / 浅野妙子 / 大谷健太郎', '语言': [' 日语 ', ' 英语'], '制片国家/地区': ' 日本', '导演': ' 大谷健太郎'}","['日本', 'nana', '中岛美嘉', '日本电影', '青春', '漫画改编', '宫崎葵', '爱情']",7.8,50021
21,地心引力 Gravity,"{'类型': [' 科幻 ', ' 惊悚 ', ' 灾难'], '主演': [' 桑德拉·布洛克 ', ' 乔治·克鲁尼 ', ' 艾德·哈里斯 ', ' 奥托·伊格内修森 ', ' 法尔杜特·夏尔马 ', ' 艾米·沃伦 ', ' 巴舍尔·萨维奇更多...'], '上映日期': ' 2013-11-19(中国大陆) / 2013-08-28(威尼斯电影节) / 2013-10-04(美国)', '编剧': ' 阿方索·卡隆 / 霍纳斯·夸隆', '语言': [' 英语 ', ' 格陵兰语'], '制片国家/地区': ' 美国 / 英国', '导演': ' 阿方索·卡隆'}","['科幻', '美国', '太空', '2013', '灾难', '3D', '人性', '冒险']",7.8,50022
22,未来都市NO.6 NO.6,"{'类型': [' 科幻 ', ' 动画'], '主演': [' 梶裕贵 ', ' 细谷佳正 ', ' 安野希世乃 ', ' 真堂圭 ', ' 寺祖间正树 ', ' 三木真一郎更多...'], '编剧': ' 水上清资 / 浅野敦子', '语言': [' 日语'], '制片国家/地区': ' 日本', '导演': ' 长崎健司'}","['动画', '日本', '动漫', '科幻', 'BL', '未来都市', '鼠苑', '儿童文学']",8.2,50023
23,火锅英雄,"{'类型': [' 剧情 ', ' 犯罪'], '主演': [' 陈坤 ', ' 白百何 ', ' 秦昊 ', ' 喻恩泰 ', ' 王彦霖 ', ' 尹昉 ', ' 李九霄 ', ' 张亦驰 ', ' 凌琳 ', ' 陈诺 ', ' 王紫璇 ', ' 唐佐辉 ', ' 陈卫 ', ' 李润更多...'], '上映日期': ' 2016-04-01(中国大陆)', '编剧': ' 杨庆', '语言': [' 汉语普通话 ', ' 重庆话'], '制片国家/地区': ' 中国大陆', '导演': ' 杨庆'}","['黑色幽默', '重庆', '犯罪', '剧情', '2016', '喜剧', '中国大陆', '电影']",7.2,50024
24,四大天王,"{'类型': [' 剧情 ', ' 喜剧 ', ' 音乐'], '主演': [' 吴彦祖 ', ' 尹子维 ', ' 连凯 ', ' 陈子聪 ', ' 谷祖琳 ', ' 张学友 ', ' 黄贯中 ', ' 恭硕良 ', ' 杨千嬅 ', ' 谢霆锋 ', ' 莫文蔚 ', ' 卢巧音 ', ' 房祖名 ', ' 冯德伦 ', ' 成龙 ', ' 何超仪 ', ' 李尚义更多...'], '上映日期': ' 2006-04-20', '编剧': ' 吴彦祖', '语言': [' 粤语 ', ' 英语'], '制片国家/地区': ' 香港', '导演': ' 吴彦祖'}","['吴彦祖', '香港', '香港电影', '纪录片', '四大天王', '喜剧', '2006', '尹子维']",7.0,50025
25,捕蝇纸 Flypaper,"{'类型': [' 喜剧 ', ' 犯罪'], '主演': [' 帕特里克·德姆西 ', ' 艾什莉·贾德 ', ' 蒂姆·布雷克·尼尔森 ', ' 梅奇·费法 ', ' 马特·瑞安 ', ' 杰弗里·塔伯 ', ' 约翰·文堤米利亚 ', ' 普路特·泰勒·文斯 ', ' 柯蒂斯·阿姆斯壮 ', ' 罗布·许贝尔更多...'], '上映日期': ' 2011-01-28(圣丹斯电影节) / 2011-08-19(美国)', '编剧': ' 乔恩·卢卡斯', '语言': [' 英语'], '制片国家/地区': ' 美国 / 德国', '导演': ' 罗伯·明可夫'}","['喜剧', '犯罪', '黑色幽默', '美国', '悬疑', '抢银行', '推理', '2011']",7.8,50026
26,浮士德 Фауст,"{'类型': [' 剧情'], '主演': [' Stefan Weber ', ' Wolfgang Bauer ', ' Anita Groissmayer ', ' Johannes Zeiler ', ' 汉娜·许古拉 ', ' 马克西姆·梅米特 ', ' Antoine Monot Jr.更多...'], '上映日期': ' 2011-09-08(威尼斯电影节) / 2011-12-08(希腊)', '编剧': ' 亚历山大·索科洛夫', '语言': [' 德语'], '制片国家/地区': ' 俄罗斯', '导演': ' 亚历山大·索科洛夫'}","['俄罗斯', '索科洛夫', '俄罗斯电影', '金狮奖', '2011', '剧情', 'AleksandrSokurov', '第68届威尼斯电影节']",6.7,50027
27,暗算,"{'类型': [' 剧情'], '主演': [' 柳云龙 ', ' 高明 ', ' 宋春丽 ', ' 祝希娟 ', ' 王宝强 ', ' 王奎荣 ', ' 于娜 ', ' 石兆琪 ', ' 陈数更多...'], '编剧': ' 麦家 / 杨健', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 柳云龙'}","['电视剧', '柳云龙', '悬疑', '暗算', '国产电视剧', '大陆', '密码', '中国']",8.9,50028
28,住在清潭洞 청담동 살아요,"{'类型': [' 喜剧 ', ' 家庭'], '主演': [' 金惠子 ', ' 吴智恩 ', ' 宋智仁 ', ' 金显祐 ', ' 李相烨 ', ' 李宝熙 ', ' BTOB ', ' 于玄 ', ' 崔武成 ', ' 黄静敏 ', ' 朴尚勋 ', ' 赵冠宇 ', ' 郑允浩 ', ' 尹斗俊 ', ' 赵宝儿更多...'], '编剧': ' 朴惠英', '语言': [' 韩语'], '制片国家/地区': ' 韩国', '导演': ' 金锡允'}","['韩剧', '喜剧', '温情', '日日剧', '搞笑', '韩国', '经典', '看过的电视剧']",9.2,50029
29,与艾滋病同行 HIVと生きる,"{'制片国家/地区': ' 日本', '类型': [' 纪录片'], '主演': [' 中谷美纪 ', ' 松尾铃木'], '上映日期': ' 2010-07-14(日本)', '语言': [' 日语']}","['纪录片', '艾滋病', 'NHK', '日本', 'NHK纪录片', 'AIDS', '同志', '社会']",8.4,50030
30,火柴人 Matchstick Men,"{'类型': [' 剧情 ', ' 喜剧 ', ' 犯罪'], '主演': [' 尼古拉斯·凯奇 ', ' 山姆·洛克威尔 ', ' 艾莉森·洛曼 ', ' 布鲁斯·奥尔特曼'], '上映日期': ' 2003-09-12(美国)', '编剧': ' Nicholas Griffin / 泰德·格里芬', '语言': [' 英语'], '制片国家/地区': ' 美国', '导演': ' 雷德利·斯科特'}","['尼古拉斯·凯奇', '美国', '剧情', '犯罪', 'NicolasCage', '悬疑', '美国电影', '2003']",8.1,50031
31,酒徒,"{'类型': [' 剧情'], '主演': [' 張國柱 ', ' 温碧霞 ', ' 韦伟 ', ' 蒋祖曼 ', ' 江美儀 ', ' 郭善珩 ', ' 严浩 ', ' 林超荣更多...'], '上映日期': ' 2011-10-25', '编剧': ' 黃國兆 / 劉以鬯', '语言': [' 粤语 ', ' 汉语普通话 ', ' 上海话'], '制片国家/地区': ' 香港', '导演': ' 黃國兆'}","['香港', '香港电影', '文學改編', '张国柱', '温碧霞', '黃國兆', '社會現實', '独立']",6.8,50032
32,美国往事 Once Upon a Time in America,"{'类型': [' 剧情 ', ' 犯罪'], '主演': [' 罗伯特·德尼罗 ', ' 詹姆斯·伍兹 ', ' 伊丽莎白·麦戈文 ', ' 乔·佩西 ', ' 波特·杨 ', ' 塔斯黛·韦尔德 ', ' 特里特·威廉斯 ', ' 丹尼·爱罗 ', ' 理查德·布赖特 ', ' 詹姆斯·海登 ', ' 威廉·弗西斯 ', ' 达兰妮·弗鲁格 ', ' 拉里·拉普 ', ' 理查德·弗让吉 ', ' 罗伯特·哈珀 ', ' 詹妮弗·康纳利更多...'], '上映日期': ' 1984-02-17(波士顿首映) / 1984-09-28(意大利)', '编剧': ' 皮耶罗·德·贝纳迪 / 莱奥纳多·本韦努蒂 / 弗兰科·奥卡利 / 恩里科·梅迪欧力 / 弗兰科·费里尼 / 赛尔乔·莱翁内', '语言': [' 英语 ', ' 法语 ', ' 意大利语'], '制片国家/地区': ' 意大利 / 美国', '导演': ' 229分钟(导演剪辑版) / 251分钟(导演剪辑加长版)'}","['美国', '黑帮', '经典', '人生', '罗伯特·德尼罗', '美国往事', '剧情', '美国电影']",9.1,50033
33,殊途同归 第一季 Accused Season 1,"{'类型': [' 剧情'], '主演': [' 克里斯托弗·埃克莱斯顿 ', ' 麦肯锡·克鲁克 ', ' 茱丽叶特·斯蒂文森 ', ' 本恩·史密斯 ', ' 彼得·卡帕尔迪 ', ' 朱迪·惠特克 ', ' 马克·沃伦 ', ' 娜奥米·哈里斯 ', ' 沃伦·布朗 ', ' 安迪·瑟金斯更多...'], '编剧': ' 吉米·麦戈文', '语言': [' 英语'], '制片国家/地区': ' 英国', '导演': ' 戴维·布莱尔 / 理查德·莱克斯顿'}","['英剧', 'BBC', '人性', '法律', '英国', '电视剧', '2010', '看过的电视剧']",9.1,50034
34,风林火山 風林火山,"{'类型': [' 剧情 ', ' 犯罪'], '主演': [' 梁家辉 ', ' 金城武 ', ' 刘青云 ', ' 古天乐 ', ' 高圆圆 ', ' 姜珮瑶 ', ' 诗雅 ', ' 狼森更多...'], '上映日期': ' 2019(香港)', '编剧': ' 麦浚龙 / 周汶儒', '语言': [' 粤语'], '制片国家/地区': ' 香港', '导演': ' 麦浚龙'}","['麦浚龙', '香港', '香港电影', '犯罪', '金城武', '梁家辉', '港片', '剧情']",,50035
35,法医秦明,"{'类型': [' 剧情 ', ' 悬疑'], '主演': [' 张若昀 ', ' 焦俊艳 ', ' 李现 ', ' 程皓枫 ', ' 屈菁菁 ', ' 钱波 ', ' 李肆童 ', ' 侯茗皓 ', ' 王宏伟 ', ' 曲毅勇 ', ' 胡翔宇 ', ' 鲍奇龙 ', ' 孙崇琨 ', ' 张建科 ', ' 刘笑语 ', ' 王闯 ', ' 周红 ', ' 王泽熹 ', ' 郭海文 ', ' 吴景峰 ', ' 于群 ', ' 刘丽娟 ', ' 葛敬凡 ', ' 韩冰 ', ' 刘子赫 ', ' 柳金芝 ', ' 石涵 ', ' 陈城 ', ' 张桐 ', ' 张晓蕾 ', ' 李思潼 ', ' 王家瑞 ', ' 李丽峰 ', ' 李宝珍 ', ' 高家琦 ', ' 刘轩羽 ', ' 闻玉龙 ', ' 马颖杰 ', ' 葛苏仪 ', ' 李栋栋 ', ' 陈秋诗 ', ' 胡乃青 ', ' 潘垚 ', ' 王靖宇 ', ' 关佩男 ', ' 殷亚泰 ', ' 邓皓 ', ' 宋学北 ', ' 单宝云 ', ' 高蕊 ', ' 龙怀忠 ', ' 于明加 ', ' 姚姝君 ', ' 李贺 ', ' 蒋易 ', ' 王紫硕 ', ' 王艳 ', ' 周祯 ', ' 张璐 ', ' 朗明 ', ' 梁洪满 ', ' 姜猛 ', ' 蒋顺顺 ', ' 曹雪良 ', ' 吕忠明 ', ' 任孟博 ', ' 周佳楠 ', ' 滕胜祥 ', ' 关小文 ', ' 邹振翰 ', ' 胡昌霖 ', ' 崔思诚 ', ' 刘家诚 ', ' 芦振民 ', ' 杨嘉华 ', ' 孙金傲洋 ', ' 程品达 ', ' 王晓梅 ', ' 李荣轩 ', ' 万红 ', ' 黄衍 ', ' 王留胜 ', ' 贾凤柱 ', ' 于春 ', ' 董有平 ', ' 王浦东 ', ' 吕国军 ', ' 冯伊宁 ', ' 丛龙鹰 ', ' 黄哲 ', ' 穆龙 ', ' 高永强 ', ' 张兴龙 ', ' 祁伟 ', ' 满得利 ', ' 苏浩 ', ' 郝文婷 ', ' 李秋香 ', ' 姜尘 ', ' 韩仕豪 ', ' 张楚晨 ', ' 赵德雷 ', ' 姚军 ', ' 王伟 ', ' 戴鹏 ', ' 滕胜利 ', ' 滕林 ', ' 葛涛 ', ' 杨莹莹 ', ' 王祥宇 ', ' 胡隐峰 ', ' 左晓光 ', ' 张梓馨 ', ' 邢杰 ', ' 隋国群 ', ' 赵晓娇 ', ' 丁叮 ', ' 虢小雨 ', ' 董奇艺 ', ' 刘东贺 ', ' 李浩然 ', ' 夏文希 ', ' 郑宗和 ', ' 王弈文 ', ' 李洁 ', ' 王家琪更多...'], '编剧': ' 郭琳媛 / 杨哲 / 徐翔云 / 辛菲 / 肖诗瑶 / 杨开泰 / 张吉 / 王维康 / 陈雅怡', '语言': [' 汉语普通话'], '制片国家/地区': ' 中国大陆', '导演': ' 徐昂'}","['悬疑', '法医', '犯罪', '网络剧', '法医秦明作品', '国产剧', '国产电视剧', '2016']",7.0,50036
36,他是龙2 Он - дракон 2,"{'制片国家/地区': ' 俄罗斯 / 中国大陆', '主演': [' 马特维·雷科夫'], '语言': [' 俄语'], '上映日期': ' 2018', '导演': ' 因达尔·詹杜巴耶夫'}","['他是龙', '俄罗斯', '爱情', '跨越种族的绝美之恋', '期待画风', '唯美', '2018-俄罗斯', '2018']",,50037
