userid,username,movietag
10017,白蚀,"['犯罪', '美国', '悬疑', '2014', '动作', '惊悚', '小说改编', '剧情','美国', '动作', 'KeiraKnightley', '犯罪', '暴力', '凯拉·奈特莉', '美国电影', '2005','奇幻', '英国', '喜剧', '冒险', 'TerryGilliam', '1988', '英国电影', '魔幻']"
10018,.,"['美剧', '家庭', '温情', '成长', '美国', '青春', '亲情', 'Gilmore','悬疑', '惊悚', '美国', '犯罪', '美国电影', '动作', '恐怖', '2004','美剧', 'Netflix', '喜剧', '美国', '2017', '电视剧', '爱情', '意大利','法国', '法国电影', '文艺', '1970s', '少女', '法国少女', '成长', '电影','美国', '伊丽莎白·泰勒', '悬疑', '美国电影', '凯瑟琳·赫本', 'ElizabethTaylor', '1950s', 'TennesseeWilliams']"
10020,啊瓜是个好少年,"['纪录片', '匠人精神', '工艺', '中国', '文化', '2017', '温暖', '大陆']"
10021,你的湖,"['摇滚', 'KristenStewart', '美国', '青春', 'DakotaFanning', '美国电影', '音乐', '2010','纪录片', '设计', '艺术', 'Netflix', '设计纪录片', '美国', '2017', '美剧']"
10023,雅思拜拜.,"['爱情', '美国', 'JenniferAniston', '美国电影', '喜剧', '分手男女', '情感', '2006','英剧', 'BBC', '英国', '战争', '爱情', '2012', '电视剧', '剧情','JudeLaw', '爱情', '美国', '裘德·洛', '英国', '美国电影', '剧情', '英国电影','科幻', '美国', 'JudeLaw', '裘德·洛', '动作', '美国电影', '惊悚', '2010']"
10024,NAMA,"['不思凡', '动画', '国产', '中国动画电影', '反乌托邦', '中国', '荒诞', '形·国漫']"
10025,adjani,"['法国', '二战', '法国电影', '2017', '战争', '犹太人', '纳粹；犹太家庭', '第十四届法国电影展映','法国电影', '喜剧', '法国', 'table', 'de', '爱情', '人生', '电影','法语', '喜剧', '轻松喜剧', '法国', '搞笑', '法国电影', '电影报道', '720p','法国', '喜剧', '法国电影', '2016', '家庭', '比利时', '剧情', '黑色幽默','法国电影', '法国', '喜剧', 'Philippe_de_Chauveron']"
10026,大步向前走啊,"['纪录片', 'BBC', '英国', '炼金术', '2012', '化学纪录片', 'Lecture', '英国纪录片','科幻', '超能力', '法国', '动作', '2014', '剧情', '女性', '犯罪']"
10028,骑着扫把的女巫,"['纪录片', 'BBC', '恐龙', '英国', '自然', '科普', '记录片', '与恐龙共舞','心理', '真人秀', '综艺', '李松蔚', '心理咨询', '自我认知', '看见自己', '申音']"
10029,PeachOrange,"['法国', '奇幻', '圣诞', '喜剧', '圣诞老人', '2017', '温暖', '家庭','港剧', '香港', '爱情', 'TVB', '粤语', 'ViuTV', '电视剧', '2016']"
10030,春夏秋冬,"['岩井俊二', '日本', '梦旅人', '青春', '日本电影', '文艺', '浅野忠信', 'Picnic']"
10031,浅裟,"['人性', '国产电影', '剧情', '中国', '余积廉', '大陆', '欣赏余老的气质', '动作']"
10032,pineapple啊,"['香港', '犯罪', '银河映像', '人性', '剧情', '2011', '金融', '社会']"
10033,kuuu,"['纪录片', '自然', '英国', '生命', 'Life', '2009', 'David-Attenborough', '纪录','纪录片', '村落', '人文', '文化', '中国大陆', '美景', '2017', '社会','美剧', '科幻', 'Netflix', '美国', '沃卓斯基', '2015', '同性', '电视剧']"
10034,jtwo,"['悬疑', '美国', '宗教', '惊悚', 'RobertDeNiro', '罗伯特·德尼罗', 'AlanParker', 'MickeyRourke','纪录片', '悬疑', '英国', '犯罪', '心理', '2012', '伪纪录片', '剧情','美食', '古装', '温情', '喜剧', '网络剧', '治愈', '吃货', '国产电视剧']"
10037,李-慕-慕,"['白先勇', '历史', '台剧', '台湾', '一把青', '战争', '电视剧', '台劇','英国', '大卫·里恩', '爱情', '英国电影', '1970', 'DavidLean', '史诗', '1970s']"
10038,緒に,"['中井贵一', '日剧SP', '波瑠', '日本', '2018', '满岛真之介', '日剧', '原田美枝子','纪录片', '德国', '艺术', '紀錄片', '德國', '2014', '伪造', 'Beltracchi','IsabelleHuppert', '法国', '法国电影', 'LouisGarrel', '2016', '2017', 'Luc_Bondy', '路易·加瑞尔']"
10039,willasun,"['动画', '美国', 'pixar', '喜剧', '动画片', '美国电影', '2007', '欧美动画']"
10040,【已注销】,"['喜剧', '美国', '动作', '搞笑', '特工', '间谍', '盖尔加朵', '2016','美食', '纪录片', '法国', '短片', '唯有美食不可辜负', '文艺', '甜品', '每一帧都是壁纸系列']"
10042,韩安娜呀,"['科幻', '太空', '2017', '冒险', '奇幻', '法国', '美国', '动作','喜剧', '美国', '女性', '黑人', '2017', '搞笑', '现代', '爱情']"
10043,惡霸叔叔唐老鵝,"['爱情', '霍乱时期的爱情', '美国', '小说改编', '美国电影', '2007', '名著改编', '电影','法国', '文艺', '波兰', '爱情', '1994', '剧情', '经典', '人性','法国', '文艺', '爱情', '波兰', '1994', '剧情', '经典', '人性']"
10044,LexieShi,"['美剧', '法律', '律师剧', '律政', '美国', '法庭辩论', 'Practice', '电视剧','美剧', '喜剧', 'NBC', '美国', 'AmyPoehler', '2013', '政治', '看过的电视剧']"
10046,爻又,"['美剧', '法律', '犯罪', '律政', '美国', '电视剧', '看过的电视剧', 'law']"
10047,我的猫叫吃屎,"['惊悚', '美国', '恐怖', 'StephenKing', '美国电影', '青春', '1976', 'BrianDePalma','喜剧', '章子怡', '王力宏', '爱情', '2013', '中国电影', '中国', '大陆','北野武', '日本', '青春', '日本电影', '成长', '坏孩子的天空', '安藤政信', '1996','科幻', '美剧', '美国', 'firefly', '电视剧', '2002', '看过的电视剧', '英语标签']"
10048,厂花花花,"['妻夫木聪', '日本', '水原希子', '日本电影', '2017', '日影', '大根仁', '喜剧','十二国记', '日本', '经典', '动画', '动漫', 'アニメ', 'Anime', '科幻奇幻','美国', '同志', '文艺', '爱情', '同性', '剧情', '2009', '人生','日本', '三谷幸喜', '喜剧', '日本电影', '2004', '稲垣吾郎', '电影', '役所広司']"
10049,噫旴戲,"['美剧', '悬疑', '美国', '2017', '惊悚', '犯罪', '电视剧', 'David·Lynch','克拉克·盖博', '美国', '索菲娅·罗兰', '爱情', '喜剧', 'ClarkGable', '美国电影', '老电影','英格丽·褒曼', '美国', '经典', '爱情', '美国电影', 'IngridBergman', '1956', '电影']"
10050,且听风吟,"['纪录片', '台湾', '紀錄片', '台灣', '历史', '日本', '2015', '黄亚历']"
10051,EllyGirlSun,"['美国', '青春', 'RyanGosling', '独立电影', '美国电影', '2003', 'Kevinspacey', '瑞安.高斯林']"
10052,RuC_,"['侗族', '贵州', '民族', '音乐', '2017', '国产', '匠心', '中国大陆']"
10053,的确凉,"['喜剧', '法国', '温情', '公路', '2016', '剧情', '亲情', '阿尔及利亚','日本', '2017', '家庭', '剧情', '温情', '文艺', '人生', 'SIFF','美国', '犯罪', '传记', '2017', '毒品', '剧情', '黑色幽默', '动作','爱情', '喜剧', '美国', '2017', '温情', '治愈', '独立', '剧情','韩国', '战争', '历史', '韩国电影', '宋仲基', '2017', '二战', '黄政民']"
10054,云嘶嘶,"['成长', '青春', '美国', '女性', '家庭', '2017', '剧情', '喜剧','动画', '温情', '皮克斯', '迪士尼', '亲情', '音乐', '墨西哥', '2017','悬疑', '惊悚', '心理', '美国', '犯罪', '剧情', '人性', '恐怖','爱情', '美国', '小清新', '文艺', '科幻', '2014', '奇幻', '温情','音乐', '美国', '励志', '剧情', '爵士', '梦想', '成长', '2014']"
10055,六角,"['美剧', '喜剧', 'LouisCK', '美国', 'FX', '看过的电视剧', '电视剧', '2010']"
10056,nonosaid,"['美剧', 'HBO', '犯罪', '美国', '电视剧', 'TheWire', '剧情', '2002','成长', '美国', '青春', '人生', '家庭', '剧情', '2014', '文艺','文艺', '温情', '音乐', '美国', '成长', '剧情', '爱情', '2015']"
10057,IslaLEE,"['黑色幽默', '英国', '喜剧', '憨豆', '英国电影', '2005', '剧情', '犯罪','黑色幽默', '英国', '喜剧', '2007', '葬礼上的死亡', '剧情', '黑色', '美国','动作', '喜剧', '美国', '搞笑', '犯罪', '2017', '暴力', '黑色幽默','美国', '家庭', '青春', '成长', '亲情', '剧情', '温情', '人生','美国', '经典', '暴力', '剧情', '犯罪', '1976', '人性', '黑色']"
10058,Oliver,"['许鞍华', '香港电影', '香港', '周慧敏', '吴君如', 'les', '同志', '2010','韩国', '短片', '韩国电影', '烟味人生', '女性', '家庭', '她是女子。她也是女子', '童年','纪录片', '时尚', 'FashionShow', '时装', '2009', 'Fashion', '美国', '纽约','台湾电影', '张钧甯', '台湾', '悬疑', '2010', '温升豪', '猎艳', '电影','台湾', '我在垦丁天气晴', '彭于晏', '钮承泽', '青春', '台剧', '阮经天', '台湾偶像剧']"
10060,MAAN,"['苏联', '超现实主义', 'Aleksandr_Kaidanovsky', '1980s', '黑白', '苏俄', 'AleksandrKaidanovsky', '俄罗斯电影','纪录片', '历史', '辛亥革命', '中国', '革命', '中国大陆', '纪录', '民族']"
10061,是個甜心哟,"['金基德', '韩国', '韩国电影', '情色', '伦理', '坏小子', '爱情', '剧情','韩剧', '黑色幽默', '韩国', 'tvN', '监狱', '喜剧', '2017', '电视剧','惊悚', '恐怖', '血腥', '法国', '人性', '剧情', '2016', '艺术','韩剧', '奇幻', '韩国', 'tvN', '爱情', '喜剧', '电视剧', '2017']"
10062,20年,"['看过的电视剧', '英语标签', '英剧', '黑色幽默', '犯罪', '美剧', '2017', '喜剧','美国', '政治', '剧情', '人性', '美国电影', 'KateBeckinsale', '2008', '真相至上']"
10063,年少时的猛犸,"['纪录片', '韩国', '爱情', '温情', '感人', '韩国电影', '亲情', '感动','传记', '英国', '霍金', '爱情', '剧情', '人生', '2014', '励志','英国', '剧情', '公路', '2013', '独立电影', '美国', '人生', '人性','德国', '歌剧', 'Wagner', 'Hans-Jürgen_Syberberg', '西尔贝尔格', '1980s', '音乐', '电影']"
10065,.MANGATA,"['法国', '法国电影', 'DanielAuteuil', '2013', '爱情', 'France', '电影', '马瑟·巴纽','法国', '法国电影', 'Marcel_Pagnol', '马歇尔·帕尼奥尔', '喜剧', '1930s', 'MarcelPagnol', '1931']"
10066,章言麟,"['日剧', '日本', '成长', '2017', '喜剧', '爱情', '17夏', '电视剧']"
10067,追求梦想的智智,"['爱情', '喜剧', '美国', '丑小鸭的爱情', '2010', '青春', '搞笑', '励志']"
10068,卡肉,"['山田孝之', '日本', '综艺', '松岡茉優', '日本综艺', '日综', '小池荣子', '2017','美国', '剧情', '艺术', '2017', '保罗·托马斯·安德森', 'DanielDayLewis', 'DanielDay-Lewis', '时尚','青春', '挪威', '成长', 'skam', '宗教', '挪威剧', '2017', '挪威电视剧','日剧', '日本', '犯罪', '人性', '2016', '暗金丑岛君', '深夜剧', '黑色幽默']"
10069,凤姐,"['韩剧', '爱情', '题材新颖', '韩国', '奇幻', '悬疑', '2016', '电视剧']"
10070,呀依呀呦,"['美国', 'MarionCotillard', '2013', '剧情', '爱情', 'JeremyRenner', '美国电影', 'JoaquinPhoenix','瑞典', '瑞典电影', '独立', 'RoyAndersson', '2007', '罗伊·安德森', 'Roy_Andersson', '欧洲电影','喜剧', '美国', '儿童', '亲情', '成长', '家庭', '经典', '童年','朴赞郁', '韩国', '韩国电影', '吸血鬼', '宋康昊', '爱情', '2009', '惊悚']"
10071,不爱下雨天15,"['犯罪', '中国大陆', '剧情', '2015', '人性', '警匪', '惊险', '动作','科幻', '美国', '灾难', '外星人', '独立日', '2016', '动作', '冒险','林青霞', '武侠', '香港', '香港电影', '巩俐', '张敏', '动作', '古装','盗墓笔记', '烂片', '国产电视剧', '李易峰', '电视剧', '看过的电视剧', '三叔', '大陆']"
10074,特立独行的猪,"['美国', '同志', '同性', '文艺', '青春', '爱情', '同性恋', '1991']"
10075,远椿,"['美剧', '美国', '家庭', '黑色幽默', '喜剧', '2016', 'Showtime', 'Shameless','纪录片', '西安摇滚', '摇滚', '中国电影', '摇滚纪录片', '大陆', '关于摇滚乐', '音乐']"
10076,一杯热奶茶等待,"['歌舞片', '经典', '美国', '歌舞', '音乐', '爱情', '美国电影', '喜剧','美国', '剧情', '悬疑', '惊悚', '人性', '黑色', '2016', 'Tom·Ford','美剧', '温情', '家庭', '感动', '生活', '美国', '2016', '喜剧','德国', '2016', '喜剧', '家庭', '剧情', '亲情', '戛纳', '戛纳电影节']"
10077,总没理小姐,"['动画', '国产', '暴力美学', '中国大陆', '动漫', '2017', '奇幻', '人性','汤唯', '张学友', '香港电影', '香港', '爱情', '月满轩尼诗', '岸西', '2010','悬疑', '莱昂纳多·迪卡普里奥', '美国', '心理', '惊悚', 'LeonardoDiCaprio', '剧情', '美国电影']"
10078,有灵魂的烧卖,"['韩剧', '搞笑', '喜剧', '韩国', '电视剧', 'KBS', '奇幻', '2017','韩剧', '邪教', '犯罪', '韩国', '惊悚', '悬疑', '看过的电视剧', '韩语标签','动画', '美国', '科幻', '美剧', '恶搞', '动画片', '喜剧', '美国动画']"
10079,大头鱼,"['美剧', '喜剧', '美国', '血腥', '轻喜剧', 'Netflix', '剧情', '电视剧','传记', '美国', '商业', '麦当劳发家史', '麦当劳', '剧情', '2016', '历史']"
10080,张小美,"['日剧', '爱情', '日本', '2011', '女性', '成长', '11秋', '友情']"
10082,梨小朋友,"['法国', '侯麦', '法国电影', '六个道德故事', 'EricRohmer', '新浪潮', 'Eric_Rohmer', '1972']"
10083,丫头的减脂生活,"['多重人格', '精神分裂', '悬疑', '心理', '话剧改编', '中国大陆', '人性', '黑色幽默']"
10084,Claire,"['韩国', '文艺', '爱情', '2015', '剧情', '人性', '生活', '人生','洪尚秀', '韩国', '韩国电影', '2013', '剧情', '郑有美', '爱情', '李善均','韩国', '爱情', '2013', '文艺', '剧情', '女性', '洪常秀', '柏林电影节','洪尚秀', '韩国', '韩国电影', '2010', '剧情', '李善均', '郑有美', '2010s']"
10085,平常心,"['日剧', '深田恭子', '松山研一', '日本', '2018', '18冬', '松山ケンイチ', '木十','英剧', 'BBC', '乡村', '英国', '维多利亚时代', '名著改编', '古典', '电视剧','英剧', 'BBC', '英国', '名著改编', '古典', '电视剧', '2007', 'UK','日剧', '2018', '18冬', '日本', '悬疑', 'ドラマ', '电视剧', 'CX','美剧', '看过的电视剧', '历史', '英语标签', '美国', '曼哈顿计划', '2014', '剧情']"
10089,种一个龙猫出来,"['日本', 'nana', '中岛美嘉', '日本电影', '青春', '漫画改编', '宫崎葵', '爱情']"
10091,躲进世界的角落,"['美剧', 'LES', 'lesbian', '同志', '美国', '女性', '电视剧', '看过的电视剧','悬疑', '犯罪', '国产', '青春', '中国大陆', '剧情', '2016', '动作','犯罪', '警匪', '动作', '悬疑', '2017', '中国大陆', '剧情', '惊险']"
10092,Victoria_,"['香港', '动作', '文艺', '武侠', '叶问', '传记', '2013', '剧情']"
10093,S_umer,"['纪录片', 'BBC', '宗教', '建筑', '英国', 'Documentary', '基督教', '2010']"
10094,Mr.Michael,"['警匪', '香港', '犯罪', '香港電影', '动作', '2017', '惊险', '剧情','爱情', '内地', '都市', '2010', '文艺', '剧情', '青春', '群戏','传记', '萧红', '文艺', '女性', '爱情', '国产电影', '2012', '中国大陆']"
10095,Stella,"['纪录片', '环保', '法国', '自然', '2009', '思考', '震撼', '唯美','科幻', '约翰尼·德普', '美国', '2014', '爱情', '美国电影', '剧情', '电影','科幻', '美国', '人性', '猩猩', '2014', '动作', '剧情', '战争','美国', '2015', '法国', '传记', '纪录', '纪实', 'Alfred.Hitchcock', '紀錄片','科幻', '美国', '太空', '2013', '灾难', '3D', '人性', '冒险']"
10096,逃避账号,"['日剧', '吉田羊', '犯罪', 'WOWOW', '日本', '推理', '2016', '永山绚斗','日剧', '竹内结子', '西岛秀俊', '小出惠介', '日本', '12冬', '2012', '看过的电视剧','日剧', '木村拓哉', '水嶋ヒロ', '綾瀬はるか', '绫濑遥', '日本', '推理', '09春季档']"
10097,(*￣rǒ￣),"['纪录片', 'Discovery', '海洋', '环保', '美国', '海豚', '❤探索频道纪录片', '鲸鱼','日本', '诹访敦彦', '日本电影', '三浦友和', '諏訪敦彦', '1999', '1990s', '家庭','同志', '爱情', '香港', '同性', 'Gay', '香港电影', '文艺', '电影']"
10098,亲爱的,"['动画', '日本', '动漫', '2012', '2012年4月', 'A-1Pictures', '日本动漫', 'noitaminA']"
10099,秋艳,"['小说改编', '鸠摩罗什', '穿越', '古装', '网剧', '网络剧', '国产电视剧', '爱情']"
10102,LilyLing07,"['综艺', '真人秀', '江苏卫视', '中国', '挑战', '大陆', '科普', '2014','综艺', '真人秀', '最强大脑', '中国', '2015', '大陆', '江苏卫视', '魏坤琳','动画', '日本', '动漫', '科幻', 'BL', '未来都市', '鼠苑', '儿童文学','综艺', '真人秀', '最强大脑', '科学', '中国', '2016', '大陆', '第三季']"
10103,zizi,"['网剧', '爱情', '姐弟恋', '2017', '警匪', '悬疑', '黑社会', '电视剧','情色', '泰国', '伦理', '泰国电影', '晚娘2', '爱情', '晚娘', '2004','韩国', '喜剧', '爱情', '悬疑', '2016', '犯罪', '剧情', '烂片','台湾', '喜剧', '2017', '爱情', '搞笑', '亲情', '成长', '励志']"
10105,就是这么酷炫,"['JohnnyDepp', '美国', '童话', '魔幻', '奇幻', 'TimBurton', '查理和巧克力工厂', '美国电影','姜文', '太阳照常升起', '文艺', '中国电影', '大陆', '中国', '黄秋生', '电影']"
10106,喝水也胖,"['温情', '青春', '亲情', '请回答1988', '韩剧', '成长', '请回答系列', '韩国','血腥', '惊悚', '美国', '暴力', '恐怖', '犯罪', '2012', 'cult','伊朗', '纯真', '伊朗电影', '儿童', '童年', '小鞋子', '经典', '剧情','纪录片', '日本', '福原爱', '乒乓', '纪实', '体育', '成长', '2017']"
10107,这么大一只汤包,"['黑色幽默', '重庆', '犯罪', '剧情', '2016', '喜剧', '中国大陆', '电影']"
10108,so……,"['动画', '黑色幽默', '美剧', '美国', 'Netflix', '人生', '喜剧', '2015']"
10109,peachbaby,"['美国', '剧情', '2017', '悬疑', '儿童', '家庭', '天才', '成长','日剧', '深夜剧', '日本', '野波麻帆', '情景喜剧', '喜剧', '搞笑', '浅见丽奈']"
10110,零阳,"['吴彦祖', '香港', '香港电影', '纪录片', '四大天王', '喜剧', '2006', '尹子维','动漫', '日本动画', '隐之王', '动画', '日本', '釘宮理恵', '隐王', 'Anime']"
10111,eden,"['香港', '喜剧', '梁家辉', '刘镇伟', '香港电影', '毛舜筠', '邵美琪', '1992']"
10112,🌶辣炒鸡丁,"['英剧', '推理', '悬疑', '英国', '侦探', '女性', '看过的电视剧', 'ITV']"
10113,杉森小岛,"['动作', '美国', '2017', '科幻', '犯罪', '剧情', '惊悚', '暴力','纪录片', '国宝', '历史', '中国', '文化', '文物', '博物', '2018','窦文涛', '脱口秀', '谈话节目', '综艺', '看理想', '梁文道', '社会', '文艺','美国', '传记', '励志', '真实事件改编', '2017', '剧情', '人性', '经典']"
10114,蜻蜓计,"['东野圭吾', '剧情满分，演技感人', '王俊凯', '治愈', '人生哲学', '温暖', '剧情', '亲情']"
10115,[已注销],"['喜剧', '犯罪', '黑色幽默', '美国', '悬疑', '抢银行', '推理', '2011','美国', '剧情', '独立电影', '2011', '悬疑', '美国电影', 'HughDancy', 'T·Sean·Durkin']"
10116,胸毛毛,"['西班牙', '爱情', '同性', '毁三观', '情色', '伦理', '2012', '剧情']"
10118,s-s,"['美国', '亲情', '家庭', '儿童', '剧情', '温情', '2012', '文艺','荷兰', '同性', '喜剧', '2013', '温情', '剧情', '荷兰电影', '同志','英剧', '喜剧', '英国', 'BBC', 'MontyPython', 'Monty_Python', 'UK', 'TerryGilliam','动画', '动画电影', '美国', '美国动画', '电影', '2017', '喜剧', '家庭']"
10119,摸摸,"['JohnnyDepp', '墨西哥', '动作', '美国', '黑帮', '犯罪', '约翰尼·德普', '美国电影','动画', '爱宠大机密', '美国', '美国电影', '喜剧', '2019', '2018', '3D','日剧', '日本', '温情', '治愈', '励志', '2016', '电视剧', '治愈系','日剧', '石原さとみ', '松本潤', '爱情', '日本', '松本润', '石原里美', '2014']"
10120,小脑斧上灯台,"['王家卫', '短片', '香港', '纪录片', '张震', '杜鹃', '文艺', '2012','香水', '法国', '犯罪', '惊悚', '剧情', '德国', '2006', '人性']"
10121,一只阿丁旺旺旺,"['日剧', '律政', '日本', '搞笑', '喜剧', '法律', '2012', '推理','喜剧', '污', '搞笑', '英国', '特工', '动作', '2016', '间谍','喜剧', '香港', '搞笑', '1992', '经典', '家庭', '爱情', '中国']"
10122,emmm睡不着,"['香港', '梁家辉', '悬疑', '犯罪', '香港电影', '彭于晏', '白还是白，黑并非黑', '人性']"
10123,黑猫别格莫特,"['俄罗斯', '索科洛夫', '俄罗斯电影', '金狮奖', '2011', '剧情', 'AleksandrSokurov', '第68届威尼斯电影节','捷克', '史云梅耶', '动画', 'JanSvankmajer', '捷克电影', 'Jan_Svankmajer', '电影', '杨·史云梅耶']"
10124,你的橘子,"['日剧', '唐泽寿明', '和久井映见', '爱情', '经典', '日本', '看过的电视剧', '日语标签','陀思妥耶夫斯基', '俄罗斯', '俄罗斯电视剧', '名著改编', '俄剧', '电视剧', '文学', '俄罗斯电影','侯孝贤', '舒淇', '台湾', '台湾电影', '爱情', '2001', '千禧曼波', '侯孝賢']"
10125,风马,"['名著改编', '英国', '爱情', '文艺', '2012', '女性', '剧情', '文学']"
10126,summer,"['2017', '独立电影', '剧情', '家庭', '中国大陆', 'FIRST影展', '金马奖', '社会','美剧', '律政', '女性', '美国', 'CBS', '法律', '2011', '电视剧','库斯图里卡', '南斯拉夫', '流浪者之歌', '南斯拉夫电影', 'EmirKusturica', '剧情', 'Emir_Kusturica', '1989','台剧', '台湾', '医疗', '医学', '吴慷仁', '电视剧', '台劇', '2015','美剧', 'HBO', '新闻编辑室', '政治', '新闻', '美国', '2013', '剧情','美剧', '福尔摩斯', '推理', '悬疑', '美国', 'CBS', '2012', '电视剧']"
10127,anty,"['英剧', '青春', '丧', '英国', '喜剧', '犯罪', '2017', '电视剧','科幻', '韩国', '人性', '奉俊昊', '韩国电影', '美国', '2013', '剧情','惊悚', '斯蒂芬·金', '美国', '悬疑', '恐怖', '2017', '惊悚悬疑', '美国电影','英剧', '黑色幽默', '英国', 'BBC', '生活', '2016', '喜剧', '人性']"
10128,疏離.,"['女性', '美国', '亲情', '文化', '喜福会', '中国', '美国电影', '王颖','纪录片', '小津安二郎', '维姆·文德斯', '德国', '文德斯', 'WimWenders', '日本', 'Wim_Wenders','侯孝贤', '台湾', '台湾电影', '吴念真', '1983', '侯孝賢', '万仁', '曾壮祥']"
10129,xiayou99,"['纪录片', '猫', '日本', 'NHK', '动物', '紀錄片', '岩合光昭', '2012','韩国', '慰安妇', '温情', '历史', '剧情', '喜剧', '2017', '社会','忻钰坤', '悬疑', '犯罪', '中国', '国产电影', '大陆', '2017', '中国电影','日本', '音乐', '青春', '2017', '成长', '梦想', '真实事件改编', '剧情']"
10130,莫西,"['黑色', '美国', '毒品', '剧情', '美国电影', 'Cult', '2000', 'DarrenAronofsky','德国', '青春', '毒品', '边缘文化', '德国电影', '成长', '剧情', 'DavidBowie']"
10133,Chiddles,"['美剧', '校园', '青春', 'Netflix', '悬疑', '成长', '美国', '2017','动画', '英国', '粘土动画', 'TomHiddleston', 'EddieRedmayne', '2018', '英国电影', '抖森']"
10134,-,"['xxxHOLIC', 'Clamp', 'ANIME', 'anime', '日本动画', '动画', '动漫', '日本','OVA', '动画', '日本动画', '吸血鬼', '日本', '动漫', '耽美', '2013']"
10135,shannonke,"['犯罪', '韩国', '悬疑', '韩国电影', '河正宇', '惊悚', '罗宏镇', '2008','电视剧', '柳云龙', '悬疑', '暗算', '国产电视剧', '大陆', '密码', '中国']"
10136,Limyer-,"['动画', '美国', 'Snoopy', '1969', '儿童', '美国动画', '动画片', '老片']"
10138,王雅男,"['韩剧', '我的女孩', '李俊基', '爱情', '李多海', '韩国', '喜剧', '电视剧','韩剧', '喜剧', '温情', '日日剧', '搞笑', '韩国', '经典', '看过的电视剧']"
10139,李霁祥(⊙o⊙)！,"['爱情', '英国', '励志', '剧情', '2017', '真实', '传记', '真实事件改编','悬疑', '阿加莎·克里斯蒂', '英国', '推理', '侦探', '经典', '犯罪', '英国电影','泰国', '校园', '青春', '作弊', '剧情', '真实事件改编', '2017', '犯罪','爱情', '美国', '人生', '奇幻', '剧情', '温情', '成长', '2008','奇幻', '爱情', '美国', '2017', '剧情', '科幻', '魔幻', '惊悚']"
10140,槑槑,"['周星驰', '喜剧', '香港', '香港电影', '梅艳芳', '王晶', '1993', '黄秋生']"
10141,becky,"['日剧', '堺雅人', '苍井优', '日本', '2015', '吉濑美智子', '15春', '看过的电视剧']"
